PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,0.01,0.50,0.49,0.17,0.07,0.16,0.27,0,716042,4339196
AP52,0.03,0.81,0.79,0.24,0.09,0.23,0.36,0,716037,4339191
AP53,0.05,0.56,0.52,0.18,0.06,0.16,0.26,0,716042,4339191
AP54,0.02,0.44,0.42,0.14,0.05,0.13,0.20,0,716047,4339191
AQ51,0.06,0.88,0.83,0.28,0.11,0.26,0.42,0,716032,4339186
AQ52,0.01,0.85,0.85,0.24,0.10,0.23,0.37,0,716037,4339186
AQ53,0.01,0.57,0.56,0.19,0.05,0.18,0.25,0,716042,4339186
AQ54,0.06,0.46,0.40,0.17,0.04,0.17,0.23,0,716047,4339186
AQ55,0.03,0.34,0.30,0.15,0.04,0.15,0.21,0,716052,4339186
AR50,0.05,0.84,0.79,0.25,0.07,0.24,0.35,0,716027,4339181
AR51,0.02,0.85,0.83,0.22,0.09,0.21,0.34,0,716032,4339181
AR52,0.02,0.71,0.68,0.20,0.08,0.19,0.30,0,716037,4339181
AR53,0.01,0.82,0.81,0.25,0.10,0.23,0.39,0,716042,4339181
AR54,0.00,0.63,0.63,0.20,0.06,0.20,0.28,0,716047,4339181
AR55,0.02,0.41,0.39,0.12,0.04,0.11,0.17,0,716052,4339181
AR56,0.03,0.28,0.25,0.10,0.03,0.10,0.14,0,716057,4339181
AR57,0.01,0.25,0.24,0.09,0.03,0.09,0.13,0,716062,4339181
AS49,0.06,0.85,0.79,0.25,0.07,0.24,0.35,0,716022,4339176
AS50,0.07,0.90,0.83,0.22,0.08,0.21,0.33,0,716027,4339176
AS51,0.05,0.82,0.76,0.21,0.08,0.19,0.32,0,716032,4339176
AS52,0.05,0.82,0.78,0.30,0.11,0.29,0.44,0,716037,4339176
AS53,0.06,0.87,0.81,0.32,0.12,0.31,0.48,0,716042,4339176
AS54,0.01,0.82,0.81,0.21,0.09,0.19,0.32,0,716047,4339176
AS55,0.01,0.45,0.45,0.16,0.05,0.15,0.22,0,716052,4339176
AS56,0.04,0.52,0.49,0.15,0.05,0.14,0.21,0,716057,4339176
AS57,0.02,0.29,0.27,0.11,0.04,0.10,0.16,0,716062,4339176
AS58,0.02,0.34,0.32,0.09,0.04,0.09,0.14,0,716067,4339176
AT49,0.04,0.72,0.68,0.21,0.07,0.20,0.30,0,716022,4339171
AT50,0.02,0.93,0.91,0.19,0.09,0.18,0.30,0,716027,4339171
AT51,0.02,0.84,0.82,0.20,0.10,0.19,0.33,0,716032,4339171
AT52,0.06,0.82,0.76,0.27,0.10,0.25,0.40,0,716037,4339171
AT53,0.07,0.89,0.82,0.26,0.10,0.24,0.39,0,716042,4339171
AT54,0.01,0.84,0.83,0.24,0.11,0.22,0.37,0,716047,4339171
AT55,0.03,0.69,0.66,0.21,0.08,0.19,0.31,0,716052,4339171
AT56,0.07,0.66,0.59,0.18,0.05,0.17,0.24,0,716057,4339171
AT57,0.02,0.35,0.32,0.13,0.04,0.12,0.19,0,716062,4339171
AT58,0.03,0.49,0.46,0.15,0.06,0.14,0.24,0,716067,4339171
AT59,0.00,0.40,0.40,0.12,0.05,0.12,0.18,0,716072,4339171
AT60,0.01,0.35,0.34,0.12,0.03,0.12,0.17,0,716077,4339171
AU48,0.06,0.87,0.81,0.22,0.07,0.21,0.31,0,716017,4339166
AU49,0.04,0.92,0.88,0.22,0.09,0.21,0.32,0,716022,4339166
AU50,0.01,0.93,0.92,0.37,0.18,0.35,0.61,0,716027,4339166
AU51,0.06,0.91,0.86,0.24,0.11,0.20,0.40,0,716032,4339166
AU52,0.05,0.71,0.66,0.20,0.07,0.18,0.28,0,716037,4339166
AU53,0.03,0.83,0.81,0.21,0.08,0.19,0.31,0,716042,4339166
AU54,0.05,0.85,0.80,0.28,0.09,0.26,0.40,0,716047,4339166
AU55,0.06,0.88,0.82,0.24,0.09,0.23,0.37,0,716052,4339166
AU56,0.03,0.79,0.76,0.21,0.06,0.20,0.29,0,716057,4339166
AU57,0.07,0.52,0.45,0.19,0.06,0.17,0.27,0,716062,4339166
AU58,0.01,0.54,0.53,0.21,0.08,0.20,0.31,0,716067,4339166
AU59,0.00,0.65,0.65,0.20,0.10,0.18,0.34,0,716072,4339166
AU60,0.04,0.54,0.50,0.15,0.06,0.13,0.23,1,716077,4339166
AU61,0.03,0.54,0.51,0.11,0.05,0.09,0.17,1,716082,4339166
AV47,0.04,0.78,0.74,0.19,0.07,0.18,0.29,0,716012,4339161
AV48,0.06,0.77,0.71,0.22,0.07,0.21,0.31,0,716017,4339161
AV49,0.05,0.92,0.87,0.24,0.10,0.22,0.37,0,716022,4339161
AV50,0.05,0.92,0.87,0.24,0.10,0.22,0.37,0,716027,4339161
AV51,0.01,0.93,0.93,0.18,0.08,0.16,0.26,0,716032,4339161
AV52,0.03,0.96,0.93,0.23,0.09,0.22,0.34,0,716037,4339161
AV53,0.05,0.87,0.82,0.22,0.07,0.21,0.32,0,716042,4339161
AV54,0.02,0.88,0.86,0.25,0.10,0.24,0.39,0,716047,4339161
AV55,0.06,0.89,0.83,0.27,0.11,0.25,0.42,0,716052,4339161
AV56,0.04,0.86,0.82,0.30,0.11,0.28,0.44,0,716057,4339161
AV57,0.03,0.73,0.70,0.23,0.09,0.22,0.34,0,716062,4339161
AV58,0.06,0.60,0.54,0.18,0.07,0.16,0.28,0,716067,4339161
AV59,0.05,0.56,0.51,0.18,0.06,0.17,0.26,0,716072,4339161
AV60,0.03,0.58,0.56,0.17,0.06,0.16,0.25,1,716077,4339161
AV61,0.03,0.41,0.38,0.11,0.04,0.11,0.16,1,716082,4339161
AV62,0.01,0.72,0.71,0.12,0.09,0.11,0.20,1,716087,4339161
AW47,0.05,0.62,0.57,0.20,0.06,0.19,0.27,0,716012,4339156
AW48,0.09,0.84,0.75,0.24,0.07,0.23,0.34,0,716017,4339156
AW49,0.06,0.84,0.78,0.24,0.08,0.23,0.36,0,716022,4339156
AW50,0.05,0.77,0.72,0.21,0.07,0.20,0.31,0,716027,4339156
AW51,0.02,0.93,0.91,0.23,0.14,0.20,0.42,0,716032,4339156
AW52,0.03,0.94,0.91,0.28,0.14,0.26,0.46,0,716037,4339156
AW53,0.05,0.68,0.63,0.19,0.06,0.18,0.27,0,716042,4339156
AW54,0.02,0.66,0.64,0.18,0.07,0.17,0.27,0,716047,4339156
AW55,0.05,0.85,0.81,0.28,0.12,0.26,0.44,0,716052,4339156
AW56,0.03,0.88,0.85,0.26,0.12,0.23,0.42,0,716057,4339156
AW57,0.01,0.86,0.86,0.21,0.12,0.18,0.37,0,716062,4339156
AW58,0.06,0.69,0.63,0.19,0.07,0.17,0.27,1,716067,4339156
AW59,0.07,0.47,0.40,0.17,0.05,0.16,0.23,0,716072,4339156
AW61,0.04,0.92,0.88,0.14,0.09,0.12,0.19,1,716082,4339156
AW62,0.03,0.41,0.37,0.14,0.04,0.14,0.19,1,716087,4339156
