PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,Longitude,Latitude
BU63,-0.22,0.72,0.94,0.12,0.11,0.11,0.27,0,716092,4339036
BU64,-0.39,0.73,1.12,0.12,0.11,0.12,0.26,0,716097,4339036
BU65,-0.34,0.58,0.92,0.14,0.08,0.14,0.24,0,716102,4339036
BU66,-0.53,0.90,1.44,0.17,0.14,0.17,0.35,0,716107,4339036
BU67,-0.68,1.00,1.68,0.14,0.18,0.13,0.36,0,716112,4339036
BU68,-1.00,1.00,2.00,0.17,0.31,0.13,0.54,0,716117,4339036
BV61,-0.32,0.45,0.77,-0.01,0.09,-0.01,0.11,0,716082,4339031
BV62,-0.29,0.54,0.84,0.02,0.09,0.02,0.14,0,716087,4339031
BV63,-0.26,0.44,0.70,0.07,0.09,0.07,0.19,0,716092,4339031
BV64,-1.00,1.00,2.00,0.14,0.18,0.11,0.36,0,716097,4339031
BV65,-0.44,1.00,1.44,0.15,0.13,0.14,0.29,0,716102,4339031
BW62,-0.40,0.43,0.83,0.00,0.10,0.00,0.13,0,716087,4339026
BW63,-0.34,1.00,1.34,0.10,0.14,0.08,0.26,0,716092,4339026
BW64,-0.67,0.99,1.67,0.08,0.13,0.08,0.22,0,716097,4339026
BW65,-0.40,0.62,1.03,0.10,0.11,0.10,0.23,0,716102,4339026
BX63,-0.29,1.00,1.29,0.13,0.11,0.13,0.26,0,716092,4339021
BX64,-0.22,0.46,0.68,0.10,0.08,0.09,0.19,0,716097,4339021
BX65,-0.39,0.80,1.19,0.18,0.12,0.17,0.33,0,716102,4339021
BY63,-0.30,0.46,0.76,0.10,0.09,0.10,0.21,0,716092,4339016
